Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,536,de,2716757,0.0704945637,7.049456,2716757,7.049456
2,537,la,1483549,0.0384952131,3.849521,4200306,10.898978
3,538,en,1069740,0.0277576738,2.775767,5270046,13.674745
4,539,el,868856,0.0225451244,2.254512,6138902,15.929258
5,540,que,745346,0.0193402800,1.934028,6884248,17.863286
6,541,los,602529,0.0156344564,1.563446,7486777,19.426731
7,542,se,447212,0.0116042822,1.160428,7933989,20.587159
8,543,las,445624,0.0115630767,1.156308,8379613,21.743467
9,544,del,439639,0.0114077775,1.140778,8819252,22.884245
10,545,the,322437,0.0083666134,0.836661,9141689,23.720906
11,546,con,314706,0.0081660090,0.816601,9456395,24.537507
12,547,por,299246,0.0077648521,0.776485,9755641,25.313992
13,548,un,269535,0.0069939094,0.699391,10025176,26.013383
14,549,para,261202,0.0067776842,0.677768,10286378,26.691152
15,550,of,258660,0.0067117243,0.671172,10545038,27.362324
16,551,una,257187,0.0066735028,0.667350,10802225,28.029674
17,552,al,233142,0.0060495818,0.604958,11035367,28.634632
18,553,es,231354,0.0060031866,0.600319,11266721,29.234951
19,554,no,209581,0.0054382196,0.543822,11476302,29.778773
20,555,como,203758,0.0052871241,0.528712,11680060,30.307486
21,556,and,191990,0.0049817673,0.498177,11872050,30.805662
22,557,in,161623,0.0041938027,0.419380,12033673,31.225043
23,558,su,159139,0.0041293477,0.412935,12192812,31.637977
24,559,lo,136728,0.0035478258,0.354783,12329540,31.992760
25,560,to,104900,0.0027219511,0.272195,12434440,32.264955
26,561,méxico,102753,0.0026662406,0.266624,12537193,32.531579
27,562,más,97242,0.0025232409,0.252324,12634435,32.783903
28,563,doi,91078,0.0023632971,0.236330,12725513,33.020233
29,564,entre,87073,0.0022593751,0.225938,12812586,33.246170
30,565,este,83744,0.0021729940,0.217299,12896330,33.463470
31,566,sobre,72778,0.0018884476,0.188845,12969108,33.652315
32,567,sus,71322,0.0018506673,0.185067,13040430,33.837381
33,568,et,70876,0.0018390944,0.183909,13111306,34.021291
34,569,esta,66050,0.0017138691,0.171387,13177356,34.192678
35,570,son,63069,0.0016365180,0.163652,13240425,34.356329
36,571,org,63008,0.0016349351,0.163494,13303433,34.519823
37,572,https,55511,0.0014404026,0.144040,13358944,34.663863
38,573,ha,55116,0.0014301531,0.143015,13414060,34.806878
39,574,si,51982,0.0013488319,0.134883,13466042,34.941762
40,575,pp,51183,0.0013280994,0.132810,13517225,35.074572
41,576,sin,49843,0.0012933290,0.129333,13567068,35.203904
42,577,ser,48969,0.0012706504,0.127065,13616037,35.330970
43,578,for,47005,0.0012196884,0.121969,13663042,35.452938
44,579,dos,44457,0.0011535727,0.115357,13707499,35.568296
45,580,social,43807,0.0011367065,0.113671,13751306,35.681966
46,581,fue,41645,0.0010806068,0.108061,13792951,35.790027
47,582,también,39518,0.0010254153,0.102542,13832469,35.892569
48,583,parte,39380,0.0010218345,0.102183,13871849,35.994752
49,584,núm,39007,0.0010121558,0.101216,13910856,36.095968
