Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,537,de,12489298,0.0786132646,7.861326,12489298,7.861326
2,538,la,7014316,0.0441512629,4.415126,19503614,12.276453
3,539,en,5202766,0.0327485516,3.274855,24706380,15.551308
4,540,el,4749108,0.0298930239,2.989302,29455488,18.540610
5,541,que,3286742,0.0206882339,2.068823,32742230,20.609434
6,542,los,2678131,0.0168573623,1.685736,35420361,22.295170
7,543,del,2212526,0.0139266348,1.392663,37632887,23.687833
8,544,se,2031759,0.0127888059,1.278881,39664646,24.966714
9,545,las,1836245,0.0115581528,1.155815,41500891,26.122529
10,546,por,1545050,0.0097252403,0.972524,43045941,27.095053
11,547,un,1445891,0.0091010889,0.910109,44491832,28.005162
12,548,con,1410889,0.0088807706,0.888077,45902721,28.893239
13,549,una,1312018,0.0082584320,0.825843,47214739,29.719082
14,550,su,1038514,0.0065368747,0.653687,48253253,30.372770
15,551,para,1029231,0.0064784433,0.647844,49282484,31.020614
16,552,como,1012184,0.0063711418,0.637114,50294668,31.657728
17,553,es,954696,0.0060092865,0.600929,51249364,32.258657
18,554,al,948084,0.0059676675,0.596767,52197448,32.855424
19,555,no,763196,0.0048038992,0.480390,52960644,33.335814
20,556,más,559106,0.0035192649,0.351926,53519750,33.687740
21,557,lo,547009,0.0034431209,0.344312,54066759,34.032052
22,558,the,477740,0.0030071107,0.300711,54544499,34.332763
23,559,sus,399673,0.0025157218,0.251572,54944172,34.584336
24,560,entre,397292,0.0025007347,0.250073,55341464,34.834409
25,561,fue,379715,0.0023900972,0.239010,55721179,35.073419
26,562,of,370641,0.0023329813,0.233298,56091820,35.306717
27,563,este,348563,0.0021940125,0.219401,56440383,35.526118
28,564,también,294413,0.0018531680,0.185317,56734796,35.711435
29,565,sobre,293374,0.0018466280,0.184663,57028170,35.896098
30,566,son,280173,0.0017635350,0.176354,57308343,36.072451
31,567,esta,270947,0.0017054624,0.170546,57579290,36.242998
32,568,and,266385,0.0016767471,0.167675,57845675,36.410672
33,569,sin,230506,0.0014509085,0.145091,58076181,36.555763
34,570,desde,223645,0.0014077223,0.140772,58299826,36.696535
35,571,ha,222723,0.0014019188,0.140192,58522549,36.836727
36,572,in,218492,0.0013752870,0.137529,58741041,36.974256
37,573,ser,217537,0.0013692758,0.136928,58958578,37.111183
38,574,pero,216683,0.0013639004,0.136390,59175261,37.247574
39,575,dos,214188,0.0013481957,0.134820,59389449,37.382393
40,576,parte,203851,0.0012831300,0.128313,59593300,37.510706
41,577,años,192175,0.0012096360,0.120964,59785475,37.631670
42,578,méxico,179192,0.0011279151,0.112792,59964667,37.744461
43,579,durante,170103,0.0010707049,0.107070,60134770,37.851532
44,580,ciudad,166622,0.0010487939,0.104879,60301392,37.956411
45,581,si,163964,0.0010320632,0.103206,60465356,38.059617
46,582,le,163004,0.0010260206,0.102602,60628360,38.162219
47,583,hasta,161857,0.0010188008,0.101880,60790217,38.264100
