Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,537,de,2424604,0.0765197972,7.651980,2424604,7.651980
2,538,la,1480449,0.0467225400,4.672254,3905053,12.324234
3,539,en,1028705,0.0324656307,3.246563,4933758,15.570797
4,540,el,838459,0.0264615222,2.646152,5772217,18.216949
5,541,que,760897,0.0240136881,2.401369,6533114,20.618318
6,542,los,569011,0.0179578217,1.795782,7102125,22.414100
7,543,las,424135,0.0133855773,1.338558,7526260,23.752658
8,544,del,420217,0.0132619263,1.326193,7946477,25.078850
9,545,se,387023,0.0122143333,1.221433,8333500,26.300284
10,546,por,295087,0.0093128599,0.931286,8628587,27.231570
11,547,un,286289,0.0090351976,0.903520,8914876,28.135089
12,548,una,277822,0.0087679815,0.876798,9192698,29.011888
13,549,con,247237,0.0078027278,0.780273,9439935,29.792160
14,550,como,227035,0.0071651586,0.716516,9666970,30.508676
15,551,para,211557,0.0066766774,0.667668,9878527,31.176344
16,552,es,207607,0.0065520166,0.655202,10086134,31.831546
17,553,no,199868,0.0063077760,0.630778,10286002,32.462323
18,554,su,177964,0.0056164921,0.561649,10463966,33.023972
19,555,al,176365,0.0055660281,0.556603,10640331,33.580575
20,556,lo,151381,0.0047775403,0.477754,10791712,34.058329
21,557,más,99262,0.0031326799,0.313268,10890974,34.371597
22,558,entre,90324,0.0028505992,0.285060,10981298,34.656657
23,559,este,85854,0.0027095273,0.270953,11067152,34.927610
24,560,sus,84892,0.0026791668,0.267917,11152044,35.195527
25,561,sobre,79331,0.0025036633,0.250366,11231375,35.445893
26,562,the,73085,0.0023065413,0.230654,11304460,35.676547
27,563,esta,64901,0.0020482567,0.204826,11369361,35.881373
28,564,of,64701,0.0020419447,0.204194,11434062,36.085567
29,565,sin,55354,0.0017469561,0.174696,11489416,36.260263
30,566,son,55343,0.0017466090,0.174661,11544759,36.434924
31,567,desde,51177,0.0016151312,0.161513,11595936,36.596437
32,568,social,49972,0.0015771018,0.157710,11645908,36.754147
33,569,ser,48952,0.0015449109,0.154491,11694860,36.908638
34,570,and,48606,0.0015339912,0.153399,11743466,37.062037
35,571,ha,47948,0.0015132249,0.151322,11791414,37.213360
36,572,también,47639,0.0015034730,0.150347,11839053,37.363707
37,573,pero,45972,0.0014508630,0.145086,11885025,37.508793
38,574,méxico,41033,0.0012949895,0.129499,11926058,37.638292
39,575,parte,38782,0.0012239486,0.122395,11964840,37.760687
40,576,si,37309,0.0011774612,0.117746,12002149,37.878433
41,577,universidad,37296,0.0011770509,0.117705,12039445,37.996138
42,578,pp,37035,0.0011688138,0.116881,12076480,38.113020
43,579,in,36616,0.0011555903,0.115559,12113096,38.228579
44,580,sociales,36494,0.0011517400,0.115174,12149590,38.343753
45,581,así,36241,0.0011437554,0.114376,12185831,38.458128
